docId,city_name,country_name,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
111,"Brussels","Belgium",91,587,9,13,22,128,33,3033,6759,25
112,"Sarajevo","Bosnia and Herzegovina",4001,134,19,94,2,12,10,18,6715,37
113,"Sofia","Bulgaria",2201,222,5,26,21,10,107,81,7083,52
114,"Zagreb","Croatia",4606,405,6,31,55,79,26,58,7522,95
115,"Prague","Czech Republic",131,2902,8,4,17,19,35,82,4807,45
116,"Copenhagen","Denmark",38,3230,22,41,27,298,5,31,7245,47
117,"Tallinn","Estonia",7,4750,12,15,28,35,25,16,8208,31
118,"Helsinki","Finland",8,3312,11,10,4,25,30,13,9159,12
119,"Paris","France",103,393,5,24,77,333,16,5166,11442,84
120,"Berlin","Germany",111,3589,39,28,39,52,43,73,7625,50
121,"Athens","Greece",3496,69,22,47,3,42,5,10,9390,6
122,"Budapest","Hungary",291,4102,23,19,52,39,26,86,7160,67
123,"Reykjavík","Iceland",56,3213,36,34,57,403,30,30,8195,27
124,"Dublin","Ireland",100,531,9,17,25,2748,30,25,7777,62
125,"Rome","Italy",2929,604,64,35,210,147,43,255,9037,79
126,"Pristina","Kosovo",1916,15,0,4,5,7,14,12,4010,7
127,"Riga","Latvia",24,2972,10,31,42,37,68,53,6364,106
128,"Vaduz","Liechtenstein",115,1152,6,9,1,131,15,26,2981,7
129,"Vilnius","Lithuania",60,2673,5,54,45,51,58,40,4981,93
130,"Luxembourg","Luxembourg",33,314,4,8,5,11,15,992,3160,1
131,"Skopje","Macedonia",3119,64,10,7,8,10,13,22,5623,47
132,"Valletta","Malta",512,554,18,77,67,1191,1892,228,8616,39
133,"Chişinău","Moldova",219,709,5,15,17,6,1421,69,4682,45
134,"Monaco","Monaco",300,223,6,10,6,155,16,2035,4228,6
135,"Podgorica","Montenegro",2228,91,3,8,6,5,12,7,3550,4
136,"Amsterdam","Netherlands",47,81,28,17,11,2303,4,147,2475,4
137,"Oslo","Norway",14,3810,19,69,28,175,41,22,8912,40
